date,home_team,away_team,winner,first_shooter
2000-04-30,34,10,10,-1
2000-05-10,134,213,213,-1
2000-05-11,197,135,197,-1
2000-05-20,132,7,7,-1
2000-05-21,20,55,20,-1
2000-06-04,75,111,75,75
2000-06-07,103,65,65,-1
2000-06-11,123,251,123,-1
2000-06-29,155,108,108,108
2000-07-14,125,45,125,-1
2000-07-16,150,123,123,-1
2000-09-03,226,201,226,-1
2000-10-04,238,210,238,-1
2000-10-28,115,236,236,-1
2000-12-02,70,185,70,-1
2001-01-17,47,65,65,-1
2001-01-27,210,173,210,-1
2001-02-11,291,251,291,-1
2001-07-12,273,112,273,-1
2001-07-13,91,273,91,-1
2001-07-29,242,97,97,242
2001-08-03,47,164,164,-1
2001-08-03,118,229,118,-1
2001-08-05,118,164,164,-1
2001-08-18,251,7,7,-1
2001-10-24,115,236,115,-1
2001-10-24,223,59,223,-1
2001-12-18,70,38,70,-1
2002-01-06,138,95,138,-1
2002-01-26,41,138,41,41
2002-01-27,142,210,210,210
2002-01-30,240,41,240,240
2002-02-10,197,40,40,40
2002-02-12,57,219,57,-1
2002-02-15,47,205,205,-1
2002-02-16,224,164,164,-1
2002-03-30,30,208,208,-1
2002-05-17,184,21,21,-1
2002-05-19,184,198,198,-1
2002-06-16,212,105,212,105
2002-06-22,210,212,210,210
2002-07-21,208,131,208,-1
2002-09-05,104,103,104,-1
2002-09-07,220,103,103,-1
2002-09-17,103,149,103,-1
2002-09-19,103,173,103,-1
2002-10-23,115,208,115,-1
2002-10-26,223,208,208,-1
2002-10-26,115,236,115,-1
2002-11-19,208,197,197,-1
2002-12-27,160,37,37,-1
2002-12-29,160,135,160,-1
2003-01-20,19,134,19,-1
2003-02-04,242,103,242,103
2003-03-07,24,160,24,-1
2003-03-15,88,76,88,-1
2003-03-22,150,123,150,-1
2003-03-27,230,83,230,-1
2003-03-30,83,131,83,-1
2003-05-24,30,132,132,-1
2003-07-09,157,244,157,-1
2003-08-16,132,251,132,-1
2003-09-24,4,79,4,-1
2003-09-26,4,37,4,-1
2003-12-08,115,185,185,-1
2003-12-08,214,236,236,-1
2004-02-11,230,161,230,230
2004-02-19,114,12,114,-1
2004-02-28,123,30,30,-1
2004-06-23,113,220,220,-1
2004-06-24,178,298,178,298
2004-06-26,218,155,155,218
2004-07-18,7,30,7,-1
2004-07-21,242,32,32,32
2004-07-25,11,32,32,11
2004-07-30,243,18,18,18
2004-07-31,111,113,111,111
2004-08-03,47,103,47,47
2004-10-22,161,64,64,-1
2004-10-24,252,251,251,-1
2004-11-20,251,7,7,-1
2004-11-30,224,69,224,-1
2004-11-30,202,98,98,-1
2004-12-02,224,204,204,-1
2004-12-03,18,121,18,-1
2004-12-03,74,167,167,-1
2004-12-22,70,115,70,-1
2004-12-24,180,167,180,-1
2005-02-08,57,15,57,-1
2005-02-09,15,121,121,-1
2005-02-27,53,97,53,-1
2005-04-16,152,30,30,-1
2005-05-15,112,91,91,-1
2005-06-26,142,11,11,142
2005-07-17,208,171,171,171
2005-07-24,240,171,240,171
2005-07-28,118,238,238,-1
2005-07-30,65,238,65,-1
2005-08-13,208,251,251,-1
2005-08-15,237,107,107,-1
2005-11-16,14,242,14,14
2005-12-10,220,104,104,-1
2005-12-10,271,236,271,-1
2006-02-04,161,230,161,161
2006-02-04,40,109,109,40
2006-02-10,65,109,65,65
2006-02-28,74,114,114,-1
2006-03-01,74,21,74,-1
2006-04-29,123,150,123,-1
2006-04-30,140,150,150,-1
2006-05-21,30,208,30,-1
2006-06-03,304,271,304,-1
2006-06-26,219,237,237,237
2006-06-30,82,11,82,82
2006-07-01,298,178,178,178
2006-07-09,108,75,108,108
2006-07-22,152,200,200,-1
2007-04-29,150,252,150,-1
2007-05-06,91,112,112,-1
2007-05-26,132,208,208,-1
2007-05-26,291,140,140,-1
2007-07-10,242,32,32,32
2007-07-21,111,14,111,14
2007-07-22,103,210,210,210
2007-07-25,104,210,104,210
2007-07-28,210,111,210,210
2007-07-29,30,7,30,-1
2007-08-18,140,141,141,-1
2007-08-18,131,340,340,-1
2007-10-24,208,251,208,-1
2008-05-05,112,91,112,-1
2008-06-20,54,231,231,54
2008-06-22,212,108,212,212
2008-07-27,251,252,251,-1
2008-09-30,157,138,138,-1
2009-06-26,297,294,294,-1
2009-07-23,53,142,142,142
2009-10-28,252,208,252,-1
2010-01-25,251,161,161,251
2010-05-21,280,79,280,-1
2010-06-29,173,111,173,173
2010-07-02,242,83,242,242
2010-09-22,76,141,141,-1
2010-09-23,88,157,157,-1
2010-09-26,88,335,335,-1
2010-09-29,157,335,335,-1
2010-10-02,340,138,138,-1
2011-01-25,111,210,111,111
2011-02-08,183,237,237,-1
2011-02-09,218,237,237,-1
2011-05-08,91,112,112,-1
2011-06-08,242,155,242,155
2011-06-18,53,97,97,53
2011-06-19,171,66,171,171
2011-06-30,106,309,309,-1
2011-07-12,189,13,189,-1
2011-07-16,11,242,242,11
2011-07-17,32,173,173,32
2011-07-20,173,246,173,173
2011-08-11,141,140,140,-1
2011-08-13,200,140,200,-1
2012-02-05,79,135,135,79
2012-02-12,251,109,251,109
2012-06-03,74,121,121,74
2012-06-17,150,223,150,-1
2012-06-24,298,108,108,108
